run_id,seed,kp,ki,kd,target_speed_m_s,dt_s,steps,noise_sigma,overshoot_m_s,settling_time_s,steady_state_error_m_s,mean_abs_error_m_s,duration_s,sample_count,tolerance_m_s,target_ref_m_s,overshoot_ratio,ss_err_ratio,label
120,42,0.742487,0.243433,0.171346,37.967837,0.100000,300,0.000000,0.150742,11.700000,0.001047,7.311226,29.900000,300,0.759357,37.967837,0.198513,0.001379,no_change
121,42,0.518419,0.002064,0.070352,37.604254,0.100000,300,0.000000,0.000000,11.800000,0.185248,7.275467,29.900000,300,0.752085,37.604254,0.000000,0.246313,no_change
122,42,1.038793,0.333701,0.083804,37.425470,0.100000,300,0.000000,0.021644,11.400000,0.000228,7.075238,29.900000,300,0.748509,37.425470,0.028916,0.000305,no_change
123,42,0.700746,0.211138,0.044108,21.582649,0.100000,300,0.000000,0.109108,6.500000,0.000210,2.328868,29.900000,300,0.500000,21.582649,0.218216,0.000421,no_change
124,42,0.579420,0.010159,0.067226,35.374257,0.100000,300,0.000000,0.000000,11.000000,0.104873,6.391334,29.900000,300,0.707485,35.374257,0.000000,0.148234,no_change
125,42,0.544748,0.057766,0.093478,18.828834,0.100000,300,0.000000,0.096142,5.900000,0.013965,1.801842,29.900000,300,0.500000,18.828834,0.192284,0.027931,no_change
126,42,0.784483,0.009438,0.078804,31.931759,0.100000,300,0.000000,0.000000,9.700000,0.072609,5.174736,29.900000,300,0.638635,31.931759,0.000000,0.113695,no_change
127,42,0.129812,0.224962,0.027140,28.850953,0.100000,300,0.000000,2.330476,21.100000,0.044525,4.830742,29.900000,300,0.577019,28.850953,4.038820,0.077164,reduce_kp
128,42,0.155313,0.132686,0.042332,24.805374,0.100000,300,0.000000,2.278187,22.800000,0.009122,3.832875,29.900000,300,0.500000,24.805374,4.556373,0.018244,reduce_kp
129,42,0.937353,0.132694,0.150402,39.957729,0.100000,300,0.000000,0.000000,12.300000,0.001815,8.096505,29.900000,300,0.799155,39.957729,0.000000,0.002271,increase_kp
130,42,0.377499,0.028667,0.003877,31.182571,0.100000,300,0.000000,0.000000,9.900000,0.009486,4.914806,29.900000,300,0.623651,31.182571,0.000000,0.015210,no_change
131,42,1.199899,0.122486,0.130029,38.436991,0.100000,300,0.000000,0.000000,11.700000,0.009876,7.482151,29.900000,300,0.768740,38.436991,0.000000,0.012847,no_change
132,42,0.816930,0.263982,0.189922,20.980820,0.100000,300,0.000000,0.193731,6.400000,0.000144,2.214614,29.900000,300,0.500000,20.980820,0.387461,0.000289,no_change
133,42,0.122418,0.053334,0.025244,35.083765,0.100000,300,0.000000,2.356104,19.900000,0.177263,6.748686,29.900000,300,0.701675,35.083765,3.357827,0.252628,reduce_kp
134,42,0.720367,0.076288,0.139893,38.006943,0.100000,300,0.000000,0.000000,11.700000,0.002649,7.316764,29.900000,300,0.760139,38.006943,0.000000,0.003485,no_change
135,42,0.284568,0.212537,0.149585,18.435986,0.100000,300,0.000000,1.528516,-1.0,1.516411,2.881995,29.900000,300,0.500000,18.435986,3.057031,3.032821,reduce_kp
136,42,1.001231,0.337652,0.021620,15.770353,0.100000,300,0.000000,0.053270,4.600000,0.000028,1.230279,29.900000,300,0.500000,15.770353,0.106541,0.000056,no_change
137,42,0.443153,0.237072,0.191635,26.899633,0.100000,300,0.000000,0.700914,11.700000,0.000424,3.711849,29.900000,300,0.537993,26.899633,1.302832,0.000788,reduce_ki
138,42,0.886516,0.026599,0.138123,33.817272,0.100000,300,0.000000,0.000000,10.300000,0.045743,5.793767,29.900000,300,0.676345,33.817272,0.000000,0.067633,no_change
139,42,0.212091,0.270368,0.170059,33.012348,0.100000,300,0.000000,2.088997,18.800000,0.007688,5.935609,29.900000,300,0.660247,33.012348,3.163963,0.011644,reduce_kp
140,42,0.233161,0.344346,0.156527,25.416113,0.100000,300,0.000000,1.883009,-1.0,1.690146,4.468762,29.900000,300,0.508322,25.416113,3.704361,3.324950,reduce_kp
141,42,0.571216,0.129700,0.101192,25.236935,0.100000,300,0.000000,0.173331,7.800000,0.002496,3.215515,29.900000,300,0.504739,25.236935,0.343408,0.004945,no_change
142,42,1.034533,0.287816,0.021108,43.823627,0.100000,300,0.000000,0.000000,13.500000,0.001160,9.780609,29.900000,300,0.876473,43.823627,0.000000,0.001324,increase_kp
143,42,0.799144,0.290048,0.141462,28.064614,0.100000,300,0.000000,0.145658,8.500000,0.000114,3.957254,29.900000,300,0.561292,28.064614,0.259505,0.000204,no_change
144,42,0.907175,0.337916,0.054016,39.245977,0.100000,300,0.000000,0.024819,12.000000,0.000144,7.797788,29.900000,300,0.784920,39.245977,0.031620,0.000184,increase_kp
145,42,0.691990,0.169224,0.087115,36.930786,0.100000,300,0.000000,0.066320,11.300000,0.002200,6.900104,29.900000,300,0.738616,36.930786,0.089789,0.002979,no_change
